date,cpi,permits,home_sales,price_index
1995-12-01,159.6,1442.0,,
1999-02-01,175.5,1720.0,,
2016-03-01,293.471,1118.0,,
1983-07-01,100.2,1795.0,,
2019-11-01,335.484,1522.0,,
1984-03-01,103.5,1725.0,,
1987-10-01,124.6,1447.0,,
1995-02-01,156.3,1254.0,,
2006-12-01,229.8,1638.0,,
2008-02-01,240.08,1014.0,,
2014-08-01,277.319,1047.0,,
2018-09-01,321.563,1320.0,,
1982-01-01,91.9,794.0,,
1989-08-01,133.5,1334.0,,
2010-12-01,250.641,632.0,,
2018-11-01,323.633,1334.0,,
1986-06-01,118.2,1790.0,,
2009-05-01,249.204,556.0,,
2015-04-01,283.786,1166.0,,
1981-10-01,90.0,731.0,,
1983-04-01,99.3,1566.0,,
1997-06-01,166.5,1402.0,,
2009-01-01,247.563,545.0,,
2012-09-01,261.62,930.0,,
2004-11-01,213.1,2079.0,,
1986-04-01,117.6,1858.0,,
2015-08-01,287.32,1165.0,,
2023-01-01,387.845,1354.0,4070000.0,4070000.0
1995-11-01,159.2,1430.0,,
2016-01-01,291.7,1171.0,,
2001-11-01,195.4,1651.0,,
2014-11-01,279.758,1059.0,,
1986-08-01,119.0,1726.0,,
2002-05-01,198.9,1716.0,,
2022-05-01,365.417,1708.0,,
1981-06-01,87.6,976.0,,
2005-09-01,218.7,2263.0,,
2007-08-01,235.524,1321.0,,
1999-03-01,175.9,1665.0,,
2007-06-01,234.283,1407.0,,
2014-09-01,278.149,1077.0,,
1981-08-01,88.8,889.0,,
1988-05-01,127.2,1444.0,,
1992-04-01,146.2,1054.0,,
2000-09-01,185.4,1570.0,,
2023-06-01,398.981,1441.0,4110000.0,4110000.0
1985-08-01,112.6,1808.0,,
1997-07-01,166.9,1440.0,,
2021-11-01,354.168,1775.0,,
2000-08-01,184.8,1552.0,,
2016-08-01,298.029,1201.0,,
2022-02-01,359.38,1817.0,,
1986-02-01,115.6,1767.0,,
2013-08-01,268.837,964.0,,
2004-09-01,212.5,2041.0,,
2019-02-01,326.22,1302.0,,
1981-07-01,87.9,935.0,,
2002-06-01,199.5,1758.0,,
2019-10-01,334.558,1538.0,,
1983-02-01,98.5,1471.0,,
1984-12-01,108.1,1626.0,,
