"Label (Grouping)","Upper value quartile (dollars)"
"Alabama",""
"    Estimate","331,200"
"Alaska",""
"    Estimate","455,200"
"Arizona",""
"    Estimate","602,700"
"Arkansas",""
"    Estimate","290,700"
"California",""
"    Estimate","1,083,100"
"Colorado",""
"    Estimate","737,500"
"Connecticut",""
"    Estimate","504,900"
"Delaware",""
"    Estimate","468,200"
"District of Columbia",""
"    Estimate","1,057,600"
"Florida",""
"    Estimate","524,200"
"Georgia",""
"    Estimate","450,200"
"Hawaii",""
"    Estimate","1,133,500"
"Idaho",""
"    Estimate","638,200"
"Illinois",""
"    Estimate","383,500"
"Indiana",""
"    Estimate","320,100"
"Iowa",""
"    Estimate","311,400"
"Kansas",""
"    Estimate","341,200"
"Kentucky",""
"    Estimate","310,700"
"Louisiana",""
"    Estimate","318,300"
"Maine",""
"    Estimate","447,700"
"Maryland",""
"    Estimate","599,000"
"Massachusetts",""
"    Estimate","766,900"
"Michigan",""
"    Estimate","351,900"
"Minnesota",""
"    Estimate","445,700"
"Mississippi",""
"    Estimate","269,900"
"Missouri",""
"    Estimate","345,600"
"Montana",""
"    Estimate","597,500"
"Nebraska",""
"    Estimate","349,500"
"Nevada",""
"    Estimate","613,200"
"New Hampshire",""
"    Estimate","553,600"
"New Jersey",""
"    Estimate","641,600"
"New Mexico",""
"    Estimate","376,100"
"New York",""
"    Estimate","700,900"
"North Carolina",""
"    Estimate","443,200"
"North Dakota",""
"    Estimate","363,900"
"Ohio",""
"    Estimate","324,000"
"Oklahoma",""
"    Estimate","298,700"
"Oregon",""
"    Estimate","678,200"
"Pennsylvania",""
"    Estimate","383,600"
"Rhode Island",""
"    Estimate","540,800"
"South Carolina",""
"    Estimate","397,600"
"South Dakota",""
"    Estimate","377,000"
"Tennessee",""
"    Estimate","444,900"
"Texas",""
"    Estimate","431,900"
"Utah",""
"    Estimate","705,800"
"Vermont",""
"    Estimate","455,600"
"Virginia",""
"    Estimate","601,200"
"Washington",""
"    Estimate","841,400"
"West Virginia",""
"    Estimate","251,800"
"Wisconsin",""
"    Estimate","377,800"
"Wyoming",""
"    Estimate","431,400"
"Puerto Rico",""
"    Estimate","172,500"
